"THERAPEUTIC SCI (DEPT-KINES Section","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105
001
Health Care: Intrdis Appr","","18","3.972","94.4","5.6","",".",".","","",".","",".","",".",".","",".","",".",".","",".","","",".",".",".","."
"THER SCI
Dept. Total
939","","18","3.972","94.4","5.6","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","5","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","6","4.000","100.0",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","5","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","18","3.972","94.4","5.6","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","18","3.972","94.4","5.6","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
