"FAMILY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","",""
"699
Directed Study","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"712
Hlth Care-Diverse Communities","001","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","7","3.700","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"926
Clrk Fam&Comm Med-Native Am","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930
Clrkshp Family Med-St Lukes","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931
Cl Mgmt-Addictv Disordr-Mad","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sports Medicine","Course Total","","4","***","","","","","","","","","","","","","","","",""
"939
HEART IM","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM MED
370","Dept. Total","","44","3.783","25.0","2.3","4.5",".",".",".",".",".",".","65.9",".",".",".",".","2.3","."
