"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"812","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","26","3.521","38.5","23.1","26.9","3.8",".",".",".",".",".",".",".",".",".",".","3.8","3.8"
"812","082","","30","3.463","26.7","30.0","33.3",".",".",".",".",".",".",".",".",".","3.3",".","3.3","3.3"
"Prin Int Med-Basic Clrkship","Course Total","","65","3.481","29.2","23.1","30.8","1.5",".",".",".",".",".",".",".",".","9.2",".","3.1","3.1"
"902","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"902","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"MSTP Phys-Sci Preceptorship","Course Total","","5","***","","","","","","","","","","","","","","","",""
"910
Indep Rdg & Rsch-4th Yr Med","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Clinical Therapeutics","081","","117","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"916","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"916","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"916","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"916","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"916","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"916","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"916","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Palliative Care","Course Total","","15","3.750","60.0","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"918
Hlth Informatics-Med Students","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","17","",".",".",".",".",".",".",".","94.1",".",".",".",".",".",".","5.9","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","23","3.500","13.0",".",".","4.3",".",".",".","78.3",".",".",".",".",".",".","4.3","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","Course Total","","4","***","","","","","","","","","","","","","","","",""
"930","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Health in Primary Care","Course Total","","5","***","","","","","","","","","","","","","","","",""
"933
Geriatric Elective","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935
Hematology/Oncology","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"938","041","","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"938","042","","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"938","043","","19","3.667","36.8","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"938","044","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
