"Foundations of Medicine 3","","","","","","","","","","","","","","","","","","","","","","",""
"Foundations of Medicine 4","759
001","174","3.451","35.1","21.8","40.8","1.1","0.6","",".",".",".",".",".",".","",".","","",".",".",".","0.6"
"Patient, Doctor & Society 2","801
001","177","",".",".",".",".",".","",".",".","100.0",".",".",".","",".","","",".",".",".","."
"Patient, Doctor & Society 4","807
001","171","3.927","85.4","14.6",".",".",".","",".",".",".",".",".",".","",".","","",".",".",".","."
"MED SC-M
622","Dept. Total","1977","3.469","26.5","14.3","26.9","1.3","0.5","",".","0.1","27.5","0.4","2.2","",".","",".","",".",".","0.1","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","5","***","","","","","","","","","","","60.0","",".","",".","",".",".",".","."
"Undergraduates","","5","***","","","","","","","","","","","60.0","",".","",".","",".",".",".","."
"Graduate","","2","***","","","","","","","","","","","50.0","",".","",".","",".",".",".","."
"Prof Yr 1","","560","",".",".",".",".",".","",".",".","93.8","0.9","4.8","",".","",".","",".",".",".","0.5"
"Prof Yr 2","","1369","3.474","37.7","20.0","37.3","1.8","0.7","",".","0.1","1.3","0.1","0.7","",".","",".","",".",".","0.1","0.2"
"Prof Yr 3","","40","3.274","15.0","20.0","55.0","2.5",".","",".",".",".",".","5.0","",".","",".","",".",".",".","2.5"
"Prof Yr 4","","1","***","","","","","","","","","","","100.0","",".","",".","",".",".",".","."
"Professionals","","1970","3.468","26.5","14.3","27.0","1.3","0.5","",".","0.1","27.6","0.4","2.0","",".","",".","",".",".","0.1","0.4"
"","Dept. Total","1977","3.469","26.5","14.3","26.9","1.3","0.5","",".","0.1","27.5","0.4","2.2","",".","",".","",".",".","0.1","0.4"
