"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","183","3.642","44.3","42.6","10.9","1.6","0.5",".",".",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","001","78","3.096","15.4","25.6","33.3","19.2","5.1",".","1.3",".",".",".",".",".",".",".",".","."
"","134","001","101","3.302","20.8","37.6","25.7","12.9","3.0",".",".",".",".",".",".",".",".",".",".","."
"","134","002","98","3.526","36.7","39.8","15.3","5.1","2.0",".",".",".",".",".",".",".","1.0",".",".","."
"","134","003","91","3.817","72.5","16.5","9.9",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"Am Racial&Ethnic Minorities","","Course Total","290","3.538","42.4","31.7","17.2","6.2","1.7",".",".",".",".",".",".",".","0.7",".",".","."
"The Sociology of Gender","138","001","98","3.928","93.9","2.0","2.0",".",".",".","1.0",".",".",".",".",".","1.0",".",".","."
"Intro-Community & Envir Soc","140","001","53","3.689","69.8","17.0","3.8","3.8","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"Population Problems","170","001","294","3.464","40.1","34.0","13.6","8.5","1.7","1.4","0.7",".",".",".",".",".",".",".",".","."
"Directed Study","199","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intercultural Dialogues","205","001","25","3.792","76.0","8.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","4.0"
"Leadership in ICD","206","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","90","3.261","35.6","26.7","24.4","3.3","3.3","2.2","4.4",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211","001","62","3.516","56.5","17.7","9.7","11.3","3.2",".","1.6",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","73","3.611","52.1","24.7","15.1","5.5","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Technology and Society","245","001","21","3.452","33.3","52.4","4.8",".","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"","248","001","12","3.375","41.7","25.0","8.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","248","002","11","3.455","54.5","18.2",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","","Course Total","23","3.413","47.8","21.7","4.3","17.4","8.7",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","18","3.583","50.0","38.9","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","7","3.143","14.3","42.9",".","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"","320","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Human Sexuality","350","001","69","3.015","21.7","18.8","30.4","4.3","17.4","2.9","1.4","2.9",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","78","3.449","23.1","47.4","25.6","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","55","2.855","20.0","14.5","29.1","7.3","23.6","1.8","3.6",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","12","3.167","41.7","16.7","16.7","16.7",".",".","8.3",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","33","3.348","21.2","39.4","27.3","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"The Legal Profession","415","001","8","3.563","62.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Processes-Deviant Behavior","421","001","36","3.042","41.7","11.1","19.4","2.8","13.9","5.6","5.6",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422","001","15","3.100","20.0","26.7","33.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Criminology","441","001","62","3.540","56.5","21.0","11.3","3.2","4.8","3.2",".",".",".",".",".",".",".",".",".","."
"","475","001","14","2.767","21.4","7.1","21.4","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"","475","003","8","3.429","37.5","25.0","12.5",".","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"","475","004","32","3.167","31.3","18.8","9.4","25.0","6.3","3.1",".",".",".",".",".",".",".",".","6.3","."
"","475","005","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","63","3.202","36.5","15.9","12.7","17.5","9.5","3.2",".",".",".",".",".",".","1.6",".","3.2","."
"Contemporary Soc Theory","476","001","13","3.690","69.2","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 325 of 435",""
