"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","25","3.880","92.0",".",".","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","71","3.254","19.7","42.3","22.5","8.5","4.2","1.4","1.4",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","77","3.132","7.8","42.9","28.6","11.7","5.2","2.6",".","1.3",".",".",".",".",".",".",".","."
"","401
007","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
010","10","3.956","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","16","3.888","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","401
012","14","3.958","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
013","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
401","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
102","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
201","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
202","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","114","3.940","87.7","11.4",".",".",".",".",".",".",".",".",".",".","0.9",".",".","."
"Poverty and Social Welfare","420
001","19","3.447","21.1","57.9","15.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422
001","15","3.633","46.7","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","440
010","19","3.789","68.4","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","440
011","26","3.596","53.8","26.9","11.5",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","440
020","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
440","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac I:Foundatn-Generalst Prac","Course Total","74","3.689","58.1","28.4","9.5","1.4","2.7",".",".",".",".",".",".",".",".",".",".","."
"","441
010","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
011","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
441","18","3.722","66.7","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","37","3.743","64.9","21.6","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","442
001","30","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
442","26","3.960","88.5","7.7",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"","442
003","23","3.826","65.2","34.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
030","37","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Prac III: Generalist-Comm&Orgs","Course Total","116","3.846","46.6","20.7",".",".",".",".",".",".",".",".",".",".","0.9",".","31.9","."
"Alcohol & Other Drug Abuse","453
001","121","3.661","64.5","15.7","9.9","7.4","2.5",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","84","3.357","29.8","27.4","28.6","13.1","1.2",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","23","3.500","47.8","30.4","17.4",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","579
001","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Social Policy","606
001","44","3.625","54.5","27.3","9.1","6.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"GLBT Issues and Social Welfare","639
001","17","3.427","58.8","11.8","11.8","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","640
001","23","3.609","52.2","30.4","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","640
002","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
640","23","3.870","78.3","17.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
011","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
640","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","102","3.804","70.6","22.5","4.9","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
