"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"","699
056","","23","4.000","82.6",".",".",".",".",".",".",".",".",".",".",".","17.4",".",".","."
"","699
085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
099","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
104","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","39","4.000","87.2",".",".",".",".",".",".",".",".",".",".",".","10.3",".","2.6","."
"Hum Muscl Func/Hlth&Disease","779
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
041","","15","3.433","33.3","20.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","042
812","","15","3.367","26.7","20.0","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","043
812","","18","3.412","22.2","33.3","38.9",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"","812
044","","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience Core Clerkship","Course Total","","61","3.417","27.9","26.2","44.3",".",".",".",".",".",".",".",".",".",".",".",".","1.6"
"NEUROL
676","Dept. Total","","101","3.561","51.5","15.8","26.7",".",".",".",".",".",".",".",".",".","4.0",".","1.0","1.0"
