"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"","496","001","","32","3.588","37.5","46.9","12.5","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","496","004","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","50","3.652","60.0","30.0","8.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","530","001","","22","3.091","18.2","31.8","22.7","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","530","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","","26","3.185","26.9","30.8","19.2","11.5","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","9","3.813","55.6","33.3",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intro to Survey Research","544","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Organization&Change","573","001","","26","3.813","76.9","7.7",".","3.8","3.8",".",".","3.8",".",".",".",".",".","3.8",".","."
"Political Sociology","624","001","","12","3.611","33.3","33.3",".","8.3",".",".",".","25.0",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","21","3.711","52.4","23.8","14.3",".",".",".",".",".",".",".",".",".","4.8",".","4.8","."
"Sociology of Law","641","001","","14","3.357","35.7","21.4","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Modern American Communities","645","001","","7","3.341","28.6","28.6","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Agriculture","650","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Population and Society","663","001","","15","3.533","33.3","40.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Analysis & Research","693","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Research Methods-Sociology","750","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Methods-Qualitative Resch","755","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Classical Theory","773","001","","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","875","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","875","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","17","4.000","17.6",".",".",".",".",".",".","82.4",".",".",".",".",".",".",".","."
"Smr: Topics in Current Soc","901","003","","8","3.786","50.0","37.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Smr-Race & Ethnic Relations","922","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Social Stratification","923","001","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Seminar-Political Sociology","924","001","","10","3.857","50.0","20.0",".",".",".",".",".","10.0",".",".",".",".","20.0",".",".","."
"Smr: Sociol-Econ Change","940","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Math&Stat Applications-Soc","952","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Latin American Area","982","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research: Economic Sociology","983","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Sociol of Gender Trainees","984","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","","Page 326 of 435",""
