"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Intro to Nursing Profession","100
001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","132","3.954","93.2","3.8","1.5","0.8",".",".",".",".",".",".",".",".",".",".","0.8","."
"","299
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"","302
001","129","3.919","83.7","16.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
302","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","153","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness II","312
001","153","3.265","10.5","44.4","34.6","8.5","2.0",".",".",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","319
001","152","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Community Health Nursing","322
001","70","3.850","78.6","14.3","5.7","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332
001","152","3.760","57.9","36.8","4.6","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401
001","148","3.345","16.2","45.9","28.4","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415
001","148","3.926","87.2","10.8","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","70","3.950","91.4","7.1","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","422
001","78","2.949",".","23.1","53.8","15.4","6.4","1.3",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449
001","77","3.916","84.4","14.3","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","2","***","","","","","","","","","","","","","","","",""
"Culturally Congruent Practice","510
001","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
002","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
004","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
005","24","3.875","79.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","75","3.920","92.0","6.7","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","29","3.931","89.7","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","34","3.941","91.2","5.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses","605
001","36","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopharmacololgy for APNs","655
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
086","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","8","3.818","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Nursing","698
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","Page 414 of 435",""
