"HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"600","010","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"600","011","","10","3.167","20.0","30.0","20.0",".","20.0",".",".",".",".",".",".",".","10.0",".",".","."
"600","012","","16","3.933","81.3","12.5",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"600","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar in History","Course Total","","124","3.674","57.3","28.2","7.3","1.6","2.4",".","0.8","0.8",".",".",".",".","1.6",".",".","."
"601
Historical Publishing","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"607
Amer Abroad-Hist Dimension","001","","13","3.308","15.4","53.8","7.7","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"636
Afro-Am Hist Since 1900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"680
Honors Thesis Colloquium","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"690
Thesis Colloquium","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692
Senior Thesis","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.917","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"700
Chinese Intellectual Hist","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
History and Theory","001","","9","3.857","55.6","22.2",".",".",".",".",".","11.1",".",".",".","11.1",".",".",".","."
"705
Topics in Global History","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"710
Professional Development Sem","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"724
Soft Power in Europe and U.S.","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Prosem-Mod E Asian History","001","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Prosem-S E Asian History","002","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"855
Smr-Modern Japanese History","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"867
Smr:European Soc&Intel Hist","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"891
Prosem-Mod European History","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"901","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies in American History","Course Total","","12","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"940
Smr-Amer History 1900-1945","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Smr-Intel History of Amer","001","","13","3.909","69.2","15.4",".",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 247 of 435",""
