"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"","699
077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Integrated Hematology System","703
001","171","3.389","29.2","22.8","45.0","2.3","0.6",".",".",".",".",".",".",".",".",".",".","."
"Integ Gastro & Hepatic Systms","707
001","169","3.405","32.5","21.9","42.6","2.4",".",".","0.6",".",".",".",".",".",".",".",".","."
"Endocrinology&Reproductive Hth","711
001","174","3.365","29.9","21.8","39.1","5.2","2.3",".",".",".",".",".",".",".",".",".",".","1.7"
"Integrated Dermatology","724
001","179","",".",".",".",".",".",".",".","97.8","0.6",".",".",".",".",".",".","1.7"
"Integrated Musculoskeletal Sys","728
001","171","3.395","31.6","19.9","45.6","1.8","1.2",".",".",".",".",".",".",".",".",".",".","."
"Integrated Neurosciences","729
001","172","3.381","28.5","22.1","47.1","1.7","0.6",".",".",".",".",".",".",".",".",".",".","."
"Medical  Neuroanatomy","731
001","179","",".",".",".",".",".",".",".","96.6","3.4",".",".",".",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","43","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Overview of Rural Health","740
001","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Foundations of Medicine 3","757
001","176","3.400","31.3","18.8","48.3","0.6","0.6",".",".",".",".",".",".",".",".",".","0.6","."
"Foundations of Medicine 4","759
001","174","3.451","35.1","21.8","40.8","1.1","0.6",".",".",".",".",".",".",".",".",".",".","0.6"
"Patient, Doctor & Society 2","801
001","177","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 4","807
001","171","3.927","85.4","14.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","1977","3.469","26.5","14.3","26.9","1.3","0.5",".","0.1","27.5","0.4","2.2",".",".",".",".","0.1","0.4"
