"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
220","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Journal Club","711
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
002","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
003","","11","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
004","","10","3.350","20.0","30.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
005","","10","3.400","30.0","20.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
006","","10","3.278","20.0","20.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0","."
"","813
007","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","813
009","","11","3.389","27.3","9.1","45.5",".",".",".",".",".",".",".",".",".",".",".","18.2","."
"","813
010","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiology Clerkship","Course Total","","80","3.435","30.0","25.0","40.0","1.3",".",".",".",".",".",".",".",".",".",".","3.8","."
"Indep Rdg & Rsch-4th Yr Med","910
062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","9","3.750","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Nuclr Med Clerk-CSC/VA","923
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"RADIOL
832","Dept. Total","","99","3.518","39.4","23.2","33.3","1.0",".",".",".",".",".",".",".",".",".",".","3.0","."
