"TERM : 1164","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2015-2016","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SENIOR MEDICAL PROGRAM","","Section
#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"882","SR MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"882","SR MED","205
Dept. Total","3.718","48.8","24.9","8.8","",".","",".","",".","",".","12.2","",".",".","",".","",".","2.0",".","3.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"882","SR MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Prof Yr 2","1","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
